,i,RAC,return,actions,Actual Path,ground_truth
0,0,106.37316799999999,85.0043389170985,"[22, 23, 37]","[0, 19, 20, 21, 22]","[  0.           2.00078604   9.78737984  44.81786398 186.75579901
 -39.0911152   38.0035367   -3.02714417  -1.03218852   8.21197004
   5.76174285  58.17094028  15.2207545    1.21675016   8.87726465
  13.34697309  59.76316293  -4.10316528   1.56533851  -4.2704787
 -25.52989816  13.07237191 103.73234386 -29.68660082  90.79018496
 -29.08731349   0.45758517  -3.743677    61.31116857  58.7743508
   3.09894851   3.7816252  -17.75571495 -79.23185873 -13.91648597
   3.12697938   6.1514534 ]"
1,1,106.373168,104.52398714017343,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[  0.          -3.05878207  -5.28171752 -21.45937244  86.54076293
 -92.06154788  69.79247057 -15.22413802   3.19039096  -4.98740751
  58.48431748 -82.40562838  -6.44834408  -3.84054355  22.67538885
 -43.99565069  -6.8971283  -17.55716836   0.21106873   2.91407607
 -11.00619177  22.8944742  108.19088647  20.09977356  36.03423797
 -13.67455718  -1.22890226 -18.71538869 -10.71552319  21.21421867
 -13.83321503  -3.96753527 -13.743454   -33.80822566 -26.84984523
  -0.25329198  -5.58655174]"
2,2,131.6189408799223,16.92381815492621,"[22, 4, 37]","[0, 19, 20, 21, 22]","[ 0.00000000e+00 -2.81334136e-01 -2.13619610e+01  3.28054162e+01
 -1.79343559e+02 -3.36698946e+01  2.01152567e+01 -2.49057617e+01
 -1.05795222e+01 -1.81801523e+01  2.20581618e+01  9.16883205e+01
  8.30787860e-01 -1.11792545e+01  1.07811664e+01 -2.38463880e+01
 -7.65219861e-01  2.35000244e+01 -3.73935475e+00  4.51262549e-02
 -8.78107893e+00 -3.12868341e+00  3.07884542e+01 -3.95511620e+01
 -1.35528786e+01 -4.72368062e+00 -6.37655012e+00 -2.37522457e+01
 -5.68486891e+01 -6.13980783e+00 -5.38113920e+00  2.23136679e+01
 -4.86953515e+01  4.50906019e+00  1.48177815e+01  2.71926773e+01
  2.50928603e+00]"
3,3,106.37316799999999,154.19078587502722,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[  0.           2.18254925   0.96497468 -37.26985407 -27.73882025
 -14.19035917  -3.30965926 -12.54001354  -0.43818169  -9.54436061
 -52.55459013  35.38489522  17.62636084  17.09573064   1.00067284
 -16.18709658 -21.8143979  -30.92954631   4.91183717  -5.50533815
 -11.85046527  -4.11299799 178.33780261   9.46865069 -40.9514056
 -14.259864     6.25244966  -3.21026726 -30.75345401  -9.20122889
  14.90112533  19.76110783 -24.88246658 -25.05667645 -32.15064378
 -48.38166346  -4.61896011]"
4,4,137.41959189564236,8.676568287984018,"[22, 4, 37]","[0, 19, 20, 21, 22]","[  0.           2.49975667  -9.95908931  13.87197017 -41.830152
 -63.3830894  -25.90827068  11.97150348   3.32250033 -22.94953266
  24.74678756  -3.51947713   8.50144793   3.32253145 -23.13632522
  14.03988612 -24.27549132  30.93958658   3.61670804   0.23067784
  -9.82991653   1.08865478  19.18715221 -48.35792637  88.93440868
   7.88590429  16.92357715 -22.25624308  65.42990167 -54.43862367
 -13.02451667   5.42451308   0.96012494 -94.32294532 -44.22336175
  16.75672708  10.43935434]"
5,5,106.3014690133075,82.0808567922824,"[22, 5, 4, 37]","[0, 1, 2, 7, 5, 4]","[   0.           -1.65435076   24.30771187   -5.04184259   10.96098416
   63.29924468  -36.36929619  -11.83273316    1.87603226   -6.59739916
  -47.7105845    -8.19506042   -7.17657894    6.03471603  -33.29577059
  -28.00716151   46.05564038   37.14662014   -7.55589779    3.22423755
   -9.80607885  -17.13706309 -104.62550199  -16.90031717   39.85759308
   14.24842542    0.59144243   -7.26621757    0.13155372   -4.23721768
   15.86106639   -6.3157163    -0.12389817   -4.04270447   -2.09232603
    4.98435317    0.98830046]"
6,6,114.2013055752823,-231.054153197695,"[22, 5, 6, 37]","[0, 1, 2, 7, 6, 4]","[   0.            3.64501962    2.17820788  -17.98183593 -248.67806516
   36.53006085   45.08254904  -30.28186457   16.39291083   -8.59787206
  105.25122229   24.07289      -6.7176323    12.37737843    2.22256334
    5.16604992    3.04510449   -3.10256317    3.17112672    4.05327502
    3.54808609   36.25180628 -162.77709651  -18.54527864   32.98615379
  -23.52862961   15.6448966    14.25410189   -7.24026391   21.36798102
  -11.7322592   -14.81853269   17.14495237   37.72395949    4.57765737
   -0.43913367  -10.63572273]"
7,7,149.19328784749496,10.566895905661951,"[22, 4, 23, 24, 37]","[0, 19, 20, 25, 23, 22]","[ 0.00000000e+00 -2.32968685e+00  3.28201637e-01  8.15032566e+00
 -7.88923029e+01  8.26229162e-02 -3.56154343e-02 -3.50944861e+01
  1.01765801e+01  1.20099703e+01 -2.50171590e+01 -6.86193045e+00
  1.01059875e+01 -2.61356415e+00 -4.85498157e+00 -5.81296565e+01
  2.21832125e+01  2.47761811e+00  1.37229962e+00 -7.63262266e+00
  1.65069969e+01  3.08671071e+00 -4.64567932e+01  8.11628888e+01
 -1.81544119e+00 -2.90135740e+01 -4.05227855e+00 -4.57663020e+01
  4.19758620e+01 -1.66589727e+01 -1.48510705e+01  1.07247013e+01
 -3.30215118e+01  2.14171743e+01 -8.25765921e+01 -1.32431868e+01
 -6.02109923e+00]"
8,8,282.26994528372404,6.719522672612257,"[22, 4, 23, 24, 28, 29, 33, 34, 25, 35, 30, 21, 37]","[0, 19, 26, 30, 28, 22]","[   0.            5.45641367  -19.46970309  -27.72699064 -229.64915742
   96.39337213   69.11344674   44.09112569    7.94827639   19.52842193
  -47.33708589   76.65454442  -22.46653601   -6.6403547    -7.56717141
  -31.66461086   34.38192437   -4.61577991   -0.32830514   -1.04318117
   13.4686857   -12.13905595  -20.90978564   16.96205684  -65.83960419
   -9.670819      5.3546825    23.32280973    6.46732435  -26.91335708
   28.85048263   -2.21480611    0.62528627    7.27718352   -2.51714919
  -10.8313692     2.37259209]"
9,9,106.37316800000004,129.53370378110745,"[22, 23, 37]","[0, 19, 20, 25, 23, 22]","[  0.          -1.44772035 -11.16066303  -0.25765513 -37.83614642
 -19.24541452 -60.69324715  -9.81743962  -2.40680579 -12.9589492
  25.43564321  69.60469221   5.93364435   7.07503662  36.45631526
  17.23076118  61.70918502 -18.01442343  -0.68562505   6.48789506
   6.75271167   0.63916234 110.17750756  15.22037866  20.65469949
  -7.10478917   2.08777001   6.56822152 -19.92899066 -83.67107094
  -1.65175481  24.55182652 -53.44220008 -36.53117122  -9.09257429
   5.38630754   5.65230628]"
