,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks,GoalStrategy,ClickAgreement,GoalAgreement,SubgoalAgreement,TermAgreement,GoalTermAgreement,SubgoalTermAgreement
0,1,0,1,-135,-120.0,20,1,4,False,0.047619047619047616,0.0,0.25,0.5263157894736842,0.75,0.75
1,1,0,2,15,-150.0,3,2,0,False,0.25,1.0,0.0,0.75,0.0,0.5
2,1,0,3,70,75.0,4,3,1,False,0.2,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0
3,1,0,4,50,50.0,4,4,1,True,0.6,1.0,0.3333333333333333,0.75,1.0,0.75
4,1,0,5,-10,-5.0,3,5,1,True,0.5,1.0,0.5,0.75,0.0,0.5
10,5,1,1,-65,-25.0,10,1,4,True,0.36363636363636365,0.75,0.6666666666666666,0.5833333333333334,1.0,0.8333333333333334
11,5,1,2,65,60.0,4,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
12,5,1,3,80,70.0,3,3,1,True,0.75,0.5,1.0,1.0,0.5,1.0
13,5,1,4,45,50.0,5,4,1,True,0.5,0.25,1.0,1.0,0.25,1.0
14,5,1,5,-10,-175.0,5,5,1,True,0.5,0.5,1.0,0.8333333333333334,0.6666666666666666,1.0
20,7,1,1,25,25.0,5,1,1,True,0.8333333333333334,0.75,1.0,1.0,0.75,1.0
21,7,1,2,55,60.0,5,2,1,True,0.8333333333333334,1.0,0.5,0.75,1.0,0.5
22,7,1,3,-1495,-1485.0,6,3,2,True,0.7142857142857143,1.0,0.5,0.6666666666666666,1.0,0.5
23,7,1,4,50,35.0,4,4,1,True,0.6,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
24,7,1,5,-10,-45.0,7,5,3,True,0.75,0.75,1.0,0.75,0.8333333333333333,1.0
25,9,1,1,0,5.0,7,1,1,False,0.375,0.25,0.3333333333333333,0.75,0.25,0.25
26,9,1,2,25,25.0,7,2,1,True,0.375,1.0,0.16666666666666666,0.5833333333333334,1.0,0.16666666666666666
27,9,1,3,-1540,-1515.0,9,3,2,True,0.5,1.0,0.2857142857142857,0.5833333333333334,1.0,0.2857142857142857
28,9,1,4,40,40.0,7,4,1,True,0.375,1.0,0.16666666666666666,0.5833333333333334,1.0,0.16666666666666666
29,9,1,5,-85,-85.0,13,5,2,True,0.35714285714285715,0.75,0.2222222222222222,0.5625,0.75,0.2222222222222222
30,10,1,1,10,15.0,6,1,3,False,0.2857142857142857,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
31,10,1,2,35,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
32,10,1,3,80,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
33,10,1,4,90,-60.0,1,4,0,False,0.5,1.0,,0.5,1.0,
34,10,1,5,-1440,-105.0,3,5,0,False,0.75,1.0,,0.75,1.0,
35,11,0,1,-1510,-155.0,3,1,1,False,0.75,1.0,1.0,1.0,0.5,1.0
