,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
0,0,0,1,25,-120.0,5,1,0
1,0,0,2,15,-125.0,9,2,0
2,0,0,3,50,-95.0,6,3,0
3,0,0,4,10,-140.0,11,4,0
4,0,0,5,-1495,-135.0,8,5,0
5,3,0,1,25,-115.0,4,1,0
6,3,0,2,80,-60.0,1,2,0
7,3,0,3,-1450,-85.0,1,3,0
8,3,0,4,55,-100.0,0,4,0
9,3,0,5,-1415,-100.0,0,5,0
10,8,0,1,-1520,-170.0,8,1,0
11,8,0,2,0,-130.0,4,2,0
12,8,0,3,-1475,-150.0,6,3,0
13,8,0,4,50,-125.0,4,4,0
14,8,0,5,-40,-145.0,6,5,0
20,10,0,1,-25,-110.0,3,1,0
21,10,0,2,0,-125.0,4,2,0
22,10,0,3,65,-135.0,5,3,0
23,10,0,4,40,-130.0,4,4,0
24,10,0,5,0,-115.0,4,5,0
25,11,0,1,-55,-190.0,12,1,0
26,11,0,2,-90,-90.0,19,2,2
27,11,0,3,-75,-65.0,18,3,4
28,11,0,4,-45,-45.0,16,4,4
29,11,0,5,-95,-85.0,12,5,4
30,13,0,1,30,-115.0,4,1,0
31,13,0,2,25,20.0,8,2,2
32,13,0,3,100,-60.0,1,3,0
33,13,0,4,55,60.0,4,4,1
34,13,0,5,-1475,-115.0,4,5,0
35,15,0,1,20,-105.0,3,1,0
36,15,0,2,45,-105.0,6,2,0
37,15,0,3,30,40.0,7,3,1
38,15,0,4,-50,-50.0,17,4,1
39,15,0,5,-85,-85.0,14,5,3
55,19,0,1,-5,-120.0,2,1,0
56,19,0,2,-1525,-130.0,3,2,0
57,19,0,3,-1440,-100.0,0,3,0
58,19,0,4,55,-100.0,0,4,0
59,19,0,5,-25,0.0,5,5,1
60,20,0,1,20,-125.0,5,1,0
61,20,0,2,50,-90.0,5,2,0
62,20,0,3,60,-100.0,5,3,0
63,20,0,4,15,-125.0,6,4,0
64,20,0,5,-1500,-160.0,9,5,0
65,21,0,1,15,-115.0,4,1,0
66,21,0,2,85,-60.0,1,2,0
67,21,0,3,80,-60.0,1,3,0
68,21,0,4,80,-70.0,2,4,0
69,21,0,5,-1455,-115.0,4,5,0
80,25,0,1,-1440,-100.0,0,1,0
81,25,0,2,-1510,-100.0,0,2,0
82,25,0,3,80,30.0,2,3,2
83,25,0,4,100,40.0,1,4,1
84,25,0,5,20,40.0,1,5,1
85,26,0,1,-65,-215.0,14,1,0
86,26,0,2,55,-100.0,5,2,0
87,26,0,3,-1440,-85.0,1,3,0
88,26,0,4,90,-110.0,1,4,0
89,26,0,5,-1455,-105.0,3,5,0
110,32,0,1,-1500,-170.0,6,1,0
111,32,0,2,-15,-15.0,5,2,2
112,32,0,3,25,25.0,7,3,2
113,32,0,4,-15,-15.0,13,4,4
114,32,0,5,-70,-50.0,9,5,2
115,34,0,1,-45,-35.0,12,1,1
116,34,0,2,-55,-60.0,16,2,1
117,34,0,3,5,5.0,11,3,1
118,34,0,4,-30,-30.0,12,4,1
119,34,0,5,-1485,-130.0,7,5,0
145,42,0,1,-1525,-150.0,5,1,1
146,42,0,2,40,30.0,7,2,2
147,42,0,3,65,65.0,4,3,1
148,42,0,4,60,45.0,3,4,1
149,42,0,5,0,-5.0,3,5,1
150,45,0,1,-80,-55.0,13,1,4
151,45,0,2,35,45.0,6,2,2
152,45,0,3,45,60.0,4,3,2
153,45,0,4,50,60.0,4,4,3
154,45,0,5,-1485,-145.0,7,5,3
155,46,0,1,-75,-40.0,9,1,4
156,46,0,2,35,45.0,6,2,1
157,46,0,3,25,-10.0,6,3,4
158,46,0,4,50,45.0,3,4,1
159,46,0,5,-80,-95.0,12,5,4
160,47,0,1,-225,-225.0,28,1,4
161,47,0,2,-300,-300.0,35,2,4
162,47,0,3,-95,-95.0,20,3,4
163,47,0,4,-60,-60.0,18,4,4
164,47,0,5,-1505,-155.0,10,5,0
165,48,0,1,15,-125.0,5,1,0
166,48,0,2,55,-90.0,4,2,0
167,48,0,3,55,-90.0,4,3,0
168,48,0,4,65,-90.0,4,4,0
169,48,0,5,-1460,-115.0,4,5,0
170,49,0,1,-1490,-150.0,5,1,0
171,49,0,2,30,-170.0,7,2,0
172,49,0,3,10,-180.0,9,3,0
173,49,0,4,55,-140.0,6,4,0
174,49,0,5,-25,-140.0,5,5,0
175,50,0,1,-105,-105.0,18,1,1
176,50,0,2,-210,-210.0,32,2,2
177,50,0,3,-5,-5.0,12,3,1
178,50,0,4,-60,-60.0,18,4,1
179,50,0,5,-105,-105.0,16,5,2
180,52,0,1,-210,-210.0,22,1,4
181,52,0,2,-1490,-100.0,0,2,0
182,52,0,3,-1475,-100.0,0,3,0
183,52,0,4,10,10.0,10,4,1
184,52,0,5,-50,-50.0,10,5,2
195,56,0,1,25,-115.0,4,1,0
196,56,0,2,75,-70.0,2,2,0
197,56,0,3,75,-70.0,2,3,0
198,56,0,4,60,-90.0,4,4,0
199,56,0,5,-1455,-115.0,4,5,0
205,58,0,1,70,-100.0,0,1,0
206,58,0,2,-1510,-100.0,0,2,0
207,58,0,3,-75,-80.0,19,3,4
208,58,0,4,5,5.0,7,4,1
209,58,0,5,-100,-100.0,14,5,2
210,59,0,1,-35,5.0,5,1,4
211,59,0,2,-40,-40.0,8,2,2
212,59,0,3,80,30.0,2,3,2
213,59,0,4,45,30.0,2,4,2
214,59,0,5,-25,-55.0,8,5,4
220,61,0,1,-355,-355.0,43,1,4
221,61,0,2,40,30.0,7,2,4
222,61,0,3,30,40.0,6,3,4
223,61,0,4,15,20.0,8,4,4
224,61,0,5,-20,-45.0,7,5,4
