,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks,GoalStrategy,ClickAgreement,GoalAgreement,SubgoalAgreement,TermAgreement,GoalTermAgreement,SubgoalTermAgreement
0,0,2,1,-5,-150.0,8,1,0,True,0.3333333333333333,0.75,0.0,0.8888888888888888,0.75,0.75
1,0,2,2,35,-125.0,7,2,0,True,0.375,1.0,0.0,0.875,1.0,0.75
2,0,2,3,95,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
3,0,2,4,95,-70.0,2,4,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
4,0,2,5,-1435,-95.0,2,5,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
5,4,0,1,-30,-25.0,10,1,1,True,0.36363636363636365,0.5,0.16666666666666666,0.5833333333333334,0.6666666666666666,0.16666666666666666
6,4,0,2,50,40.0,6,2,1,True,0.42857142857142855,1.0,0.2,0.6,1.0,0.2
7,4,0,3,30,35.0,8,3,1,True,0.3333333333333333,0.5,0.16666666666666666,0.5833333333333334,0.5,0.16666666666666666
8,4,0,4,25,15.0,9,4,1,True,0.3,0.25,0.2,0.6,0.25,0.2
9,4,0,5,-55,-70.0,11,5,3,True,0.4166666666666667,0.75,0.42857142857142855,0.5833333333333334,0.75,0.5714285714285714
10,7,3,1,-210,-210.0,27,1,3,False,0.03571428571428571,0.0,0.12,0.525,1.0,0.2675438596491228
11,7,3,2,-65,-55.0,15,2,3,False,0.0625,0.0,0.25,0.5454545454545454,0.3333333333333333,0.25
12,7,3,3,-115,-115.0,23,3,4,False,0.041666666666666664,0.0,0.2,0.5217391304347826,0.6666666666666666,0.9473684210526316
13,7,3,4,-105,-100.0,20,4,4,False,0.09523809523809523,0.25,0.25,0.5416666666666666,0.25,0.16666666666666666
14,7,3,5,-220,-230.0,28,5,4,True,0.1724137931034483,0.75,0.16666666666666666,0.5217391304347826,0.75,0.5
15,9,3,1,0,-125.0,6,1,0,True,0.42857142857142855,0.75,0.0,0.8571428571428571,0.75,0.5
16,9,3,2,25,-120.0,8,2,0,False,0.3333333333333333,0.75,0.0,0.8888888888888888,0.75,0.5
17,9,3,3,35,-110.0,7,3,0,True,0.125,0.3333333333333333,0.0,0.875,0.3333333333333333,0.5
18,9,3,4,65,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
19,9,3,5,-1510,-150.0,8,5,0,True,0.3333333333333333,0.75,0.0,0.8888888888888888,0.75,0.75
25,12,1,1,30,-115.0,4,1,0,False,0.6,0.75,,0.8,0.75,
26,12,1,2,85,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
27,12,1,3,90,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
28,12,1,4,80,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
29,12,1,5,-1465,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
30,13,2,1,30,-115.0,4,1,0,False,0.6,0.75,,0.8,0.75,
31,13,2,2,90,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
32,13,2,3,90,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
33,13,2,4,75,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
34,13,2,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
35,14,1,1,-30,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
36,14,1,2,85,-120.0,2,2,0,False,0.0,,0.0,0.6666666666666666,,0.5
37,14,1,3,-1460,-110.0,1,3,0,False,0.0,,0.0,0.5,,0.0
38,14,1,4,85,-110.0,1,4,0,False,0.0,,0.0,0.5,,0.0
39,14,1,5,5,-100.0,0,5,0,False,0.0,,,0.0,,
40,16,2,1,20,-115.0,4,1,0,False,0.2,0.25,,0.8,0.25,
41,16,2,2,85,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
42,16,2,3,-1450,-85.0,1,3,0,False,0.5,1.0,,0.5,1.0,
43,16,2,4,100,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
44,16,2,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
45,18,1,1,20,25.0,5,1,1,True,0.8333333333333334,0.75,1.0,1.0,0.75,1.0
46,18,1,2,60,60.0,4,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
47,18,1,3,65,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
48,18,1,4,45,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
49,18,1,5,-55,-35.0,6,5,2,True,0.8571428571428571,0.75,1.0,1.0,0.75,1.0
50,19,2,1,-1505,-155.0,3,1,0,False,0.75,1.0,,0.75,1.0,
51,19,2,2,75,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
52,19,2,3,-1500,-150.0,5,3,2,False,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,1.0
53,19,2,4,65,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
54,19,2,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
55,20,0,1,-25,-20.0,10,1,1,True,0.2727272727272727,0.25,0.16666666666666666,0.5833333333333334,0.25,0.16666666666666666
56,20,0,2,15,20.0,8,2,2,False,0.3333333333333333,0.25,0.5,0.625,0.25,0.75
57,20,0,3,15,20.0,8,3,2,True,0.3333333333333333,0.5,0.5,0.625,0.6666666666666666,1.0
58,20,0,4,55,40.0,6,4,1,True,0.42857142857142855,0.25,0.5,0.75,0.25,0.5
59,20,0,5,-70,-85.0,11,5,4,True,0.3333333333333333,0.25,0.5714285714285714,0.5833333333333334,0.25,0.8571428571428571
60,22,2,1,35,-115.0,4,1,0,False,0.6,0.75,,0.8,0.75,
61,22,2,2,70,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
62,22,2,3,90,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
63,22,2,4,45,-105.0,3,4,0,False,0.25,0.3333333333333333,,0.75,0.3333333333333333,
64,22,2,5,-1460,-105.0,3,5,0,False,0.75,1.0,,0.75,1.0,
65,23,3,1,-390,-410.0,46,1,4,False,0.0425531914893617,0.3333333333333333,0.09302325581395349,0.5151515151515151,0.6666666666666666,0.5788288288288288
66,23,3,2,-175,-175.0,22,2,4,False,0.043478260869565216,1.0,0.19047619047619047,0.475,0.0,0.42857142857142855
67,23,3,3,40,-105.0,7,3,1,False,0.125,1.0,0.16666666666666666,0.875,1.0,0.9
68,23,3,4,45,-5.0,7,4,3,False,0.0,,0.42857142857142855,0.4166666666666667,,0.5714285714285714
69,23,3,5,5,10.0,5,5,1,False,0.16666666666666666,,0.2,0.6,,0.2
70,24,3,1,-35,-25.0,10,1,4,False,0.18181818181818182,0.25,0.6666666666666666,0.5714285714285714,0.25,0.75
71,24,3,2,35,40.0,6,2,2,False,0.5714285714285714,0.75,1.0,0.75,0.75,1.0
72,24,3,3,25,-120.0,8,3,0,True,0.1111111111111111,0.25,0.0,0.8888888888888888,0.25,0.5
73,24,3,4,25,-120.0,8,4,0,True,0.1111111111111111,0.25,0.0,0.8888888888888888,0.25,0.75
74,24,3,5,-90,-75.0,12,5,4,True,0.38461538461538464,0.75,0.5,0.5714285714285714,0.75,0.5
75,25,1,1,50,55.0,2,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
76,25,1,2,75,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
77,25,1,3,70,60.0,4,3,2,True,1.0,1.0,1.0,1.0,1.0,1.0
78,25,1,4,70,45.0,3,4,2,True,0.75,1.0,1.0,0.75,1.0,1.0
79,25,1,5,-45,-25.0,5,5,2,True,0.3333333333333333,0.3333333333333333,1.0,0.625,0.25,1.0
80,26,0,1,-1465,-115.0,2,1,0,False,0.0,,0.0,0.6666666666666666,,0.0
81,26,0,2,-1500,-110.0,2,2,0,False,0.0,,0.0,0.6666666666666666,,0.0
82,26,0,3,80,-110.0,2,3,0,False,0.0,,0.0,0.6666666666666666,,0.0
83,26,0,4,60,-125.0,3,4,0,False,0.0,,0.0,0.75,,0.3333333333333333
84,26,0,5,10,-125.0,3,5,0,False,0.0,,0.0,0.75,,0.3333333333333333
90,28,3,1,-140,-80.0,14,1,4,False,0.0,,0.2857142857142857,0.4583333333333333,,0.3
91,28,3,2,-105,-300.0,21,2,3,False,0.045454545454545456,,0.14285714285714285,0.5454545454545454,,0.5277777777777778
92,28,3,3,45,0.0,5,3,4,False,0.16666666666666666,,0.8,0.625,,0.5
93,28,3,4,-35,-30.0,14,4,4,False,0.13333333333333333,0.25,0.4,0.5625,0.25,0.8
94,28,3,5,-160,-135.0,20,5,4,False,0.0,,0.2,0.4666666666666667,,0.65625
100,30,2,1,10,15.0,6,1,1,True,0.42857142857142855,0.25,0.5,0.75,0.25,0.5
101,30,2,2,10,10.0,9,2,1,True,0.3,1.0,0.125,0.5714285714285714,1.0,0.5714285714285714
102,30,2,3,-1460,-110.0,1,3,0,False,0.5,1.0,,0.5,1.0,
103,30,2,4,65,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
104,30,2,5,-1465,-105.0,3,5,0,False,0.75,1.0,,0.75,1.0,
105,31,1,1,45,55.0,2,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
106,31,1,2,55,60.0,4,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
107,31,1,3,65,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
108,31,1,4,40,45.0,3,4,1,True,0.75,0.5,1.0,1.0,0.5,1.0
109,31,1,5,-55,-35.0,6,5,2,True,0.8571428571428571,0.75,1.0,1.0,1.0,1.0
110,32,1,1,-40,-5.0,8,1,2,True,0.3333333333333333,0.25,0.5,0.5833333333333334,0.75,0.75
111,32,1,2,-10,-20.0,12,2,4,False,0.15384615384615385,0.25,0.5,0.5625,0.75,1.0
112,32,1,3,45,-160.0,6,3,3,False,0.42857142857142855,0.5,0.75,0.75,1.0,1.0
113,32,1,4,0,-10.0,11,4,4,False,0.08333333333333333,0.0,0.5714285714285714,0.5454545454545454,0.75,0.7142857142857143
114,32,1,5,-45,-45.0,7,5,3,False,0.125,0.0,0.75,0.5833333333333334,0.6666666666666666,1.0
115,34,3,1,-385,-385.0,46,1,4,True,0.10638297872340426,0.75,0.09523809523809523,0.5131578947368421,0.75,0.6617647058823529
116,34,3,2,-65,-75.0,17,2,4,False,0.1111111111111111,0.25,0.3076923076923077,0.5416666666666666,0.25,0.4027777777777778
117,34,3,3,-55,-45.0,16,3,4,False,0.058823529411764705,0.0,0.2857142857142857,0.53125,0.5,0.6428571428571429
118,34,3,4,-40,-35.0,15,4,4,False,0.125,0.25,0.36363636363636365,0.5384615384615384,0.25,0.8181818181818182
119,34,3,5,-100,-115.0,16,5,4,False,0.17647058823529413,0.6666666666666666,0.3076923076923077,0.5357142857142857,0.75,0.6923076923076923
125,36,0,1,-1625,-275.0,18,1,0,True,0.15789473684210525,0.75,0.0,0.9473684210526315,0.75,0.8571428571428571
126,36,0,2,-35,-175.0,14,2,0,True,0.2,1.0,0.0,0.9333333333333333,1.0,0.9090909090909091
127,36,0,3,-1805,-455.0,39,3,0,True,0.025,0.25,0.0,0.975,1.0,0.8857142857142857
128,36,0,4,-10,-160.0,13,4,0,True,0.07142857142857142,0.3333333333333333,0.0,0.9285714285714286,0.3333333333333333,0.9
129,36,0,5,-1535,-185.0,13,5,0,True,0.21428571428571427,0.75,0.0,0.9285714285714286,0.75,0.8888888888888888
130,37,3,1,-35,-30.0,11,1,4,False,0.16666666666666666,0.3333333333333333,0.5,0.55,0.3333333333333333,0.625
131,37,3,2,25,20.0,8,2,2,False,0.2222222222222222,0.25,0.5,0.625,0.25,0.75
132,37,3,3,10,20.0,8,3,4,False,0.1111111111111111,0.0,0.6666666666666666,0.5714285714285714,0.5,1.0
133,37,3,4,35,20.0,8,4,4,False,0.2222222222222222,0.25,1.0,0.5833333333333334,0.25,1.0
134,37,3,5,-30,-45.0,7,5,4,False,0.25,0.3333333333333333,1.0,0.5833333333333334,0.3333333333333333,1.0
135,39,0,1,0,35.0,4,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
136,39,0,2,90,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
137,39,0,3,75,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
138,39,0,4,35,45.0,3,4,1,False,0.75,0.5,1.0,1.0,0.5,1.0
139,39,0,5,-45,-35.0,6,5,2,True,0.8571428571428571,0.75,1.0,1.0,0.8333333333333333,1.0
140,41,2,1,35,45.0,3,1,1,True,0.75,0.5,1.0,1.0,0.5,1.0
141,41,2,2,65,-120.0,2,2,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
142,41,2,3,65,70.0,3,3,1,False,0.75,0.5,1.0,1.0,0.5,1.0
143,41,2,4,75,-95.0,2,4,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
144,41,2,5,0,-165.0,4,5,0,False,0.6,0.75,,0.8,0.75,
145,44,2,1,-50,-180.0,10,1,0,True,0.18181818181818182,0.5,0.0,0.9090909090909091,0.6666666666666666,0.8333333333333334
146,44,2,2,0,-145.0,3,2,0,False,0.5,1.0,0.0,0.75,0.5,0.0
147,44,2,3,65,-95.0,5,3,0,True,0.3333333333333333,1.0,0.0,0.8333333333333334,1.0,0.6666666666666666
148,44,2,4,55,-100.0,4,4,0,True,0.2,1.0,0.0,0.8,1.0,0.6666666666666666
149,44,2,5,-15,-165.0,4,5,1,False,0.8,1.0,1.0,0.8,1.0,1.0
150,45,1,1,30,45.0,3,1,1,True,0.75,1.0,0.5,0.75,1.0,0.5
151,45,1,2,45,-100.0,5,2,0,True,0.5,1.0,0.0,0.8333333333333334,1.0,0.5
152,45,1,3,65,-90.0,4,3,0,True,0.4,1.0,0.0,0.8,1.0,0.5
153,45,1,4,80,-90.0,3,4,0,True,0.25,1.0,0.0,0.75,1.0,0.5
154,45,1,5,-1480,-130.0,7,5,0,True,0.375,0.75,0.0,0.875,0.75,0.6666666666666666
155,46,1,1,-95,-245.0,17,1,0,True,0.16666666666666666,0.75,0.0,0.9444444444444444,0.75,0.9230769230769231
156,46,1,2,75,-70.0,2,2,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
157,46,1,3,100,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
158,46,1,4,65,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
159,46,1,5,-1460,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
160,47,0,1,-1590,-1575.0,15,1,3,False,0.0625,,0.2,0.5384615384615384,,0.6944444444444444
161,47,0,2,5,-190.0,10,2,1,False,0.09090909090909091,,0.1,0.5555555555555556,,0.8333333333333333
162,47,0,3,-65,-115.0,17,3,3,False,0.05555555555555555,,0.17647058823529413,0.5357142857142857,,0.6041666666666666
163,47,0,4,65,-130.0,3,4,1,False,0.25,,0.3333333333333333,1.0,,1.0
164,47,0,5,10,40.0,2,5,1,False,0.3333333333333333,,0.5,1.0,,1.0
165,48,3,1,25,-115.0,4,1,0,False,0.2,0.25,,0.8,0.25,
166,48,3,2,20,20.0,9,2,1,True,0.3,0.25,0.2,0.6,0.25,0.2
167,48,3,3,-20,-20.0,12,3,2,True,0.23076923076923078,0.25,0.25,0.5625,0.25,0.375
168,48,3,4,15,-140.0,10,4,0,True,0.09090909090909091,0.25,0.0,0.9090909090909091,0.25,0.8333333333333334
169,48,3,5,-1495,-150.0,8,5,0,True,0.3333333333333333,0.75,0.0,0.8888888888888888,0.75,0.75
170,49,1,1,50,55.0,2,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
171,49,1,2,75,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
172,49,1,3,70,60.0,4,3,2,True,1.0,1.0,1.0,1.0,1.0,1.0
173,49,1,4,80,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
174,49,1,5,-20,-35.0,6,5,2,True,0.7142857142857143,0.75,1.0,1.0,0.75,1.0
175,50,2,1,-25,-5.0,8,1,4,False,0.4444444444444444,0.75,1.0,0.6,1.0,1.0
176,50,2,2,15,20.0,8,2,2,True,0.3333333333333333,0.25,0.5,0.5714285714285714,0.5,0.3333333333333333
177,50,2,3,65,70.0,4,3,1,True,0.6,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
178,50,2,4,25,25.0,6,4,2,True,0.42857142857142855,0.5,0.5,0.6,1.0,0.5
179,50,2,5,-40,-35.0,6,5,2,True,0.7142857142857143,0.75,1.0,1.0,0.75,1.0
180,51,1,1,20,35.0,4,1,2,True,0.6,0.5,1.0,0.6666666666666666,1.0,1.0
181,51,1,2,75,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
182,51,1,3,90,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
183,51,1,4,20,15.0,6,4,3,True,0.42857142857142855,0.3333333333333333,1.0,0.6,1.0,1.0
184,51,1,5,-15,-175.0,5,5,1,True,0.6666666666666666,0.75,1.0,0.8333333333333334,0.75,1.0
185,52,3,1,-360,-350.0,35,1,4,False,0.027777777777777776,0.0,0.125,0.5142857142857142,0.6666666666666666,0.6607142857142857
186,52,3,2,-190,-190.0,29,2,4,False,0.06666666666666667,1.0,0.14285714285714285,0.6666666666666666,1.0,0.2857142857142857
187,52,3,3,85,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
188,52,3,4,25,20.0,8,4,4,True,0.3333333333333333,0.25,1.0,0.6,0.5,1.0
189,52,3,5,-80,-85.0,11,5,4,True,0.4166666666666667,0.75,0.5714285714285714,0.5833333333333334,0.75,1.0
190,53,0,1,35,-95.0,2,1,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
191,53,0,2,95,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
192,53,0,3,70,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
193,53,0,4,100,-70.0,2,4,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
194,53,0,5,-1440,-105.0,3,5,0,False,0.75,1.0,,0.75,1.0,
195,54,3,1,-1485,-135.0,4,1,0,False,0.0,,0.0,0.8,,0.75
196,54,3,2,-110,-90.0,15,2,3,False,0.0625,,0.2,0.5833333333333334,,0.5357142857142857
197,54,3,3,-60,-105.0,17,3,4,False,0.05555555555555555,,0.23529411764705882,0.5384615384615384,,0.5666666666666667
198,54,3,4,-20,-40.0,14,4,3,False,0.06666666666666667,0.0,0.3,0.55,0.25,0.75
199,54,3,5,-15,-110.0,1,5,1,False,0.5,,1.0,1.0,,1.0
200,55,3,1,-305,-305.0,32,1,4,False,0.030303030303030304,0.0,0.13793103448275862,0.5185185185185185,0.3333333333333333,0.5984848484848485
201,55,3,2,-175,-175.0,22,2,4,False,0.08695652173913043,1.0,0.19047619047619047,0.5714285714285714,1.0,0.5714285714285714
202,55,3,3,-155,-155.0,27,3,4,False,0.03571428571428571,0.0,0.16,0.5185185185185185,0.5,0.4
203,55,3,4,-50,-50.0,17,4,4,False,0.1111111111111111,0.25,0.3076923076923077,0.5333333333333333,0.25,0.38461538461538464
204,55,3,5,-190,-190.0,25,5,4,False,0.11538461538461539,0.5,0.19047619047619047,0.5238095238095238,0.75,0.42857142857142855
205,56,2,1,15,-115.0,4,1,1,False,0.6,0.6666666666666666,1.0,0.75,0.75,1.0
206,56,2,2,-205,-350.0,30,2,2,False,0.0967741935483871,0.6666666666666666,0.07407407407407407,0.5185185185185185,0.75,0.1111111111111111
207,56,2,3,95,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
208,56,2,4,85,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
209,56,2,5,-1480,-125.0,5,5,0,False,0.5,0.75,0.0,0.8333333333333334,1.0,0.0
215,58,0,1,-75,-75.0,15,1,1,True,0.1875,0.25,0.09090909090909091,0.5454545454545454,0.25,0.09090909090909091
216,58,0,2,10,10.0,9,2,4,True,0.2,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.25,0.6666666666666666
217,58,0,3,55,65.0,5,3,1,True,0.5,1.0,0.25,0.625,1.0,0.25
218,58,0,4,-5,5.0,8,4,1,True,0.3333333333333333,0.3333333333333333,0.2,0.5833333333333334,0.6666666666666666,0.4
219,58,0,5,-25,-35.0,7,5,2,True,0.375,0.25,0.6666666666666666,0.75,0.25,0.6666666666666666
220,59,0,1,-1490,-145.0,2,1,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
221,59,0,2,20,-135.0,2,2,0,True,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.0
222,59,0,3,80,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
223,59,0,4,85,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
224,59,0,5,20,-110.0,1,5,0,False,0.5,1.0,,0.5,0.0,
225,60,0,1,10,-130.0,3,1,0,False,0.75,1.0,,0.75,1.0,
226,60,0,2,35,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
227,60,0,3,85,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
228,60,0,4,90,-70.0,2,4,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
229,60,0,5,-1475,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
230,62,1,1,15,15.0,6,1,3,True,0.42857142857142855,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0
231,62,1,2,-15,-15.0,4,2,2,True,0.4,0.5,1.0,0.6666666666666666,0.5,1.0
232,62,1,3,50,60.0,4,3,2,True,0.4,0.5,1.0,0.75,0.5,1.0
233,62,1,4,70,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
234,62,1,5,-35,-35.0,6,5,3,True,0.2857142857142857,0.3333333333333333,1.0,0.6,0.5,1.0
235,63,3,1,-65,-220.0,14,1,0,False,0.2,0.75,0.0,0.9333333333333333,0.75,0.5
236,63,3,2,-40,-35.0,14,2,4,True,0.13333333333333333,0.25,0.4,0.5384615384615384,0.5,0.4
237,63,3,3,-170,-170.0,28,3,4,False,0.10344827586206896,0.25,0.16666666666666666,0.5263157894736842,0.25,0.45
238,63,3,4,-185,-170.0,26,4,4,False,0.07407407407407407,0.25,0.18181818181818182,0.5208333333333334,0.25,0.5454545454545454
239,63,3,5,-170,-175.0,21,5,4,False,0.22727272727272727,0.75,0.23529411764705882,0.5454545454545454,0.5,0.45
240,64,3,1,-175,-175.0,24,1,3,False,0.04,0.0,0.13636363636363635,0.5238095238095238,1.0,0.5142857142857142
241,64,3,2,-175,-175.0,28,2,4,False,0.06896551724137931,0.25,0.16666666666666666,0.5238095238095238,0.6666666666666666,0.15
242,64,3,3,-75,-65.0,18,3,4,False,0.05263157894736842,0.0,0.25,0.5384615384615384,0.5,0.375
243,64,3,4,-55,-55.0,16,4,4,False,0.11764705882352941,0.25,0.3333333333333333,0.55,0.25,0.6666666666666666
244,64,3,5,-85,-85.0,11,5,4,False,0.3333333333333333,0.75,0.5714285714285714,0.5714285714285714,0.75,1.0
245,65,0,1,-35,-175.0,11,1,0,True,0.25,0.75,0.0,0.9166666666666666,0.75,0.8571428571428571
246,65,0,2,15,-135.0,9,2,0,True,0.3,1.0,0.0,0.9,1.0,0.8333333333333334
247,65,0,3,55,-100.0,6,3,0,True,0.14285714285714285,1.0,0.0,0.8571428571428571,1.0,0.8
248,65,0,4,50,-90.0,5,4,0,True,0.16666666666666666,0.5,0.0,0.8333333333333334,0.5,0.6666666666666666
249,65,0,5,-1490,-145.0,7,5,0,True,0.25,0.5,0.0,0.875,0.6666666666666666,0.6666666666666666
250,66,1,1,45,-85.0,1,1,0,False,0.5,1.0,,0.5,1.0,
251,66,1,2,85,-70.0,2,2,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
252,66,1,3,95,-110.0,1,3,0,False,0.5,1.0,,0.5,1.0,
253,66,1,4,75,-100.0,0,4,0,False,0.0,,,0.0,,
254,66,1,5,-40,-120.0,2,5,0,False,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0
260,68,1,1,50,55.0,2,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0
261,68,1,2,75,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
262,68,1,3,70,60.0,4,3,2,True,1.0,1.0,1.0,1.0,1.0,1.0
263,68,1,4,80,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
264,68,1,5,-20,-35.0,6,5,2,True,0.7142857142857143,0.75,1.0,1.0,0.75,1.0
265,69,0,1,45,-120.0,2,1,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
266,69,0,2,80,-80.0,3,2,0,False,0.75,1.0,,0.75,1.0,
267,69,0,3,85,-70.0,2,3,0,False,0.6666666666666666,1.0,,0.6666666666666666,1.0,
268,69,0,4,65,60.0,4,4,2,False,0.4,0.5,1.0,0.75,0.5,1.0
269,69,0,5,-1450,-130.0,3,5,0,False,0.75,1.0,,0.75,1.0,
270,70,3,1,-1625,-250.0,18,1,0,False,0.05263157894736842,1.0,0.0,0.9473684210526315,0.0,0.47058823529411764
271,70,3,2,-35,-35.0,14,2,1,False,0.06666666666666667,0.0,0.07692307692307693,0.5416666666666666,1.0,0.5909090909090909
272,70,3,3,-60,-60.0,17,3,3,False,0.05555555555555555,0.0,0.1875,0.55,1.0,0.75
273,70,3,4,-40,-45.0,16,4,2,False,0.058823529411764705,0.0,0.14285714285714285,0.5416666666666666,1.0,0.7142857142857143
274,70,3,5,-130,-130.0,18,5,2,False,0.05263157894736842,0.0,0.14285714285714285,0.5333333333333333,0.5,0.7857142857142857
275,72,1,1,30,35.0,4,1,1,True,0.6,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0
276,72,1,2,55,-90.0,4,2,0,True,0.6,1.0,0.0,0.8,1.0,0.0
277,72,1,3,70,-75.0,3,3,0,True,0.25,0.5,0.0,0.75,0.5,0.0
