,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
5,3,1,1,50,55.0,2,1,1
6,3,1,2,75,80.0,2,2,1
7,3,1,3,70,60.0,4,3,2
8,3,1,4,80,55.0,2,4,1
9,3,1,5,-35,-15.0,4,5,1
20,6,2,1,30,-115.0,4,1,0
21,6,2,2,55,-60.0,1,2,0
22,6,2,3,85,-70.0,2,3,0
23,6,2,4,50,-90.0,4,4,0
24,6,2,5,-1455,-115.0,4,5,0
25,8,2,1,60,-85.0,1,1,0
26,8,2,2,85,-60.0,1,2,0
27,8,2,3,-1460,-85.0,1,3,0
28,8,2,4,80,-95.0,2,4,0
29,8,2,5,-1455,-115.0,4,5,0
30,9,1,1,40,45.0,3,1,1
31,9,1,2,65,70.0,3,2,1
32,9,1,3,70,60.0,4,3,2
33,9,1,4,70,45.0,3,4,1
34,9,1,5,-30,-45.0,7,5,2
35,10,0,1,-10,25.0,5,1,1
36,10,0,2,40,60.0,4,2,1
37,10,0,3,-1435,-170.0,2,3,1
38,10,0,4,55,50.0,5,4,1
39,10,0,5,-35,-45.0,7,5,3
40,12,0,1,-245,-250.0,26,1,2
41,12,0,2,-40,-65.0,7,2,2
42,12,0,3,0,-95.0,10,3,2
43,12,0,4,-30,-25.0,11,4,2
44,12,0,5,-100,-125.0,14,5,2
45,14,1,1,40,45.0,3,1,1
46,14,1,2,90,-60.0,1,2,0
47,14,1,3,90,-60.0,1,3,0
48,14,1,4,70,-180.0,3,4,1
49,14,1,5,-1475,-115.0,4,5,0
50,15,0,1,-20,-20.0,2,1,1
51,15,0,2,0,-180.0,3,2,0
52,15,0,3,50,-40.0,4,3,4
53,15,0,4,35,55.0,2,4,1
54,15,0,5,-10,-45.0,7,5,3
55,16,1,1,20,-115.0,4,1,0
56,16,1,2,55,70.0,3,2,1
57,16,1,3,40,40.0,6,3,2
58,16,1,4,40,50.0,5,4,1
59,16,1,5,-1460,-115.0,4,5,0
60,18,2,1,35,-115.0,4,1,0
61,18,2,2,85,-60.0,1,2,0
62,18,2,3,100,-60.0,1,3,0
63,18,2,4,60,-115.0,4,4,0
64,18,2,5,-1475,-115.0,4,5,0
70,21,0,1,-1470,-170.0,3,1,0
71,21,0,2,25,-15.0,3,2,1
72,21,0,3,70,-35.0,4,3,2
73,21,0,4,60,-15.0,3,4,1
74,21,0,5,-30,-25.0,3,5,1
75,23,1,1,35,-105.0,3,1,0
76,23,1,2,85,-70.0,2,2,0
77,23,1,3,75,-70.0,2,3,0
78,23,1,4,65,-85.0,1,4,0
79,23,1,5,-1435,-95.0,2,5,0
80,26,2,1,25,-115.0,4,1,0
81,26,2,2,85,-60.0,1,2,0
82,26,2,3,90,-70.0,2,3,0
83,26,2,4,45,-85.0,1,4,0
84,26,2,5,-1425,-85.0,1,5,0
85,27,1,1,30,-115.0,4,1,0
86,27,1,2,90,-70.0,2,2,0
87,27,1,3,85,-70.0,2,3,0
88,27,1,4,50,-85.0,1,4,0
89,27,1,5,-1435,-95.0,2,5,0
90,31,2,1,25,-105.0,3,1,0
91,31,2,2,60,-70.0,2,2,0
92,31,2,3,95,-60.0,1,3,0
93,31,2,4,65,-85.0,1,4,0
94,31,2,5,-1455,-170.0,2,5,0
95,32,1,1,30,35.0,4,1,1
96,32,1,2,75,80.0,2,2,1
97,32,1,3,70,60.0,4,3,2
98,32,1,4,60,55.0,2,4,1
99,32,1,5,-35,-45.0,7,5,3
100,33,1,1,20,35.0,4,1,1
101,33,1,2,55,60.0,4,2,1
102,33,1,3,65,60.0,4,3,1
103,33,1,4,25,25.0,5,4,1
104,33,1,5,-1465,-125.0,5,5,0
105,34,2,1,45,-105.0,3,1,0
106,34,2,2,55,-60.0,1,2,0
107,34,2,3,65,-90.0,4,3,0
108,34,2,4,105,-60.0,1,4,0
109,34,2,5,-1440,-95.0,2,5,0
110,35,0,1,30,-115.0,4,1,0
111,35,0,2,40,-95.0,4,2,0
112,35,0,3,45,-105.0,4,3,0
113,35,0,4,35,-130.0,4,4,0
114,35,0,5,-1465,-180.0,3,5,0
115,37,0,1,-1460,-170.0,2,1,0
116,37,0,2,-50,-85.0,10,2,2
117,37,0,3,10,30.0,8,3,1
118,37,0,4,-5,-80.0,10,4,2
119,37,0,5,20,-150.0,1,5,0
125,39,2,1,60,-85.0,1,1,0
126,39,2,2,85,-60.0,1,2,0
127,39,2,3,-1460,-85.0,1,3,0
128,39,2,4,80,-95.0,2,4,0
129,39,2,5,-1475,-115.0,4,5,0
135,41,2,1,25,-115.0,4,1,0
136,41,2,2,85,-60.0,1,2,0
137,41,2,3,-1445,-85.0,1,3,0
138,41,2,4,80,-170.0,2,4,1
139,41,2,5,-45,-175.0,5,5,1
140,42,1,1,20,25.0,5,1,1
141,42,1,2,60,80.0,2,2,1
142,42,1,3,60,60.0,4,3,2
143,42,1,4,80,55.0,2,4,1
144,42,1,5,-15,5.0,2,5,1
145,43,2,1,-30,-30.0,10,1,1
146,43,2,2,25,25.0,7,2,1
147,43,2,3,-1460,-85.0,1,3,0
148,43,2,4,30,30.0,7,4,1
149,43,2,5,-105,-105.0,14,5,2
150,45,1,1,-40,-50.0,5,1,3
151,45,1,2,45,-170.0,2,2,2
152,45,1,3,70,-70.0,2,3,0
153,45,1,4,85,70.0,3,4,2
154,45,1,5,-15,-190.0,4,5,2
155,46,2,1,30,-115.0,4,1,0
156,46,2,2,85,-60.0,1,2,0
157,46,2,3,-1460,-85.0,1,3,0
158,46,2,4,60,-160.0,1,4,0
159,46,2,5,-1455,-115.0,4,5,0
165,48,1,1,30,35.0,4,1,1
166,48,1,2,65,-80.0,3,2,0
167,48,1,3,-1460,-160.0,1,3,0
168,48,1,4,70,-85.0,1,4,0
169,48,1,5,-1465,-105.0,3,5,0
170,49,0,1,-1575,-250.0,11,1,0
171,49,0,2,-35,-130.0,14,2,3
172,49,0,3,-45,-140.0,15,3,4
173,49,0,4,-20,-25.0,12,4,4
174,49,0,5,-150,-130.0,17,5,4
175,50,2,1,15,-150.0,0,1,0
176,50,2,2,-1490,-150.0,0,2,0
177,50,2,3,100,-160.0,1,3,0
178,50,2,4,65,-160.0,1,4,0
179,50,2,5,-15,-160.0,1,5,0
180,54,1,1,50,55.0,2,1,1
181,54,1,2,75,80.0,2,2,1
182,54,1,3,70,60.0,4,3,2
183,54,1,4,80,55.0,2,4,1
184,54,1,5,-65,-45.0,7,5,3
190,56,0,1,-85,-220.0,9,1,0
191,56,0,2,-10,-140.0,10,2,0
192,56,0,3,-35,-20.0,13,3,1
193,56,0,4,45,-95.0,6,4,0
194,56,0,5,-1465,-115.0,6,5,0
195,57,1,1,-40,-40.0,4,1,2
196,57,1,2,0,-15.0,4,2,2
197,57,1,3,-1480,-190.0,4,3,2
198,57,1,4,35,35.0,4,4,2
199,57,1,5,-20,-15.0,4,5,2
200,61,1,1,50,55.0,2,1,1
201,61,1,2,75,80.0,2,2,1
202,61,1,3,70,60.0,4,3,2
203,61,1,4,50,25.0,5,4,2
204,61,1,5,-75,-55.0,8,5,4
210,65,0,1,-25,-20.0,10,1,1
211,65,0,2,45,50.0,6,2,1
212,65,0,3,35,30.0,7,3,1
213,65,0,4,25,25.0,9,4,1
214,65,0,5,-55,-50.0,8,5,2
220,69,2,1,-30,-170.0,10,1,0
221,69,2,2,30,-135.0,8,2,0
222,69,2,3,30,-110.0,7,3,0
223,69,2,4,5,-140.0,7,4,0
224,69,2,5,-1500,-135.0,8,5,0
225,70,2,1,-1465,-145.0,2,1,0
226,70,2,2,5,-165.0,4,2,1
227,70,2,3,10,15.0,9,3,2
228,70,2,4,20,25.0,6,4,2
229,70,2,5,5,-145.0,2,5,0
235,74,2,1,30,-115.0,4,1,0
236,74,2,2,65,-80.0,3,2,0
237,74,2,3,-1460,-85.0,1,3,0
238,74,2,4,90,-160.0,1,4,0
239,74,2,5,-1445,-180.0,3,5,0
240,76,1,1,0,-115.0,4,1,0
241,76,1,2,65,-70.0,2,2,0
242,76,1,3,70,-70.0,2,3,0
243,76,1,4,75,-95.0,2,4,0
244,76,1,5,-1460,-115.0,4,5,0
245,78,0,1,-1495,-180.0,5,1,0
246,78,0,2,-1510,-150.0,0,2,0
247,78,0,3,65,-45.0,5,3,1
248,78,0,4,30,-40.0,6,4,1
249,78,0,5,-80,-75.0,8,5,1
250,79,1,1,-1515,-155.0,3,1,0
251,79,1,2,65,60.0,4,2,1
252,79,1,3,25,20.0,8,3,3
253,79,1,4,55,-85.0,1,4,0
254,79,1,5,-1465,-105.0,3,5,0
255,80,0,1,-1580,-275.0,14,1,1
256,80,0,2,-105,-190.0,19,2,4
257,80,0,3,60,-40.0,4,3,4
258,80,0,4,65,-30.0,3,4,3
259,80,0,5,-20,-20.0,2,5,2
260,82,2,1,0,-115.0,4,1,0
261,82,2,2,70,-80.0,3,2,0
262,82,2,3,85,-60.0,1,3,0
263,82,2,4,80,-80.0,3,4,0
264,82,2,5,-1460,-115.0,4,5,0
265,84,0,1,15,-115.0,4,1,0
266,84,0,2,25,-100.0,5,2,0
267,84,0,3,40,-95.0,5,3,0
268,84,0,4,50,-85.0,4,4,0
269,84,0,5,-1455,-115.0,4,5,0
270,85,2,1,-45,-175.0,10,1,3
271,85,2,2,50,-100.0,5,2,0
272,85,2,3,65,-90.0,4,3,0
273,85,2,4,50,-90.0,4,4,0
274,85,2,5,15,-180.0,3,5,0
275,86,0,1,0,-160.0,1,1,1
276,86,0,2,35,-160.0,1,2,1
277,86,0,3,-1450,-150.0,0,3,0
278,86,0,4,25,-30.0,3,4,3
279,86,0,5,-25,-30.0,3,5,3
280,87,0,1,65,-150.0,0,1,0
281,87,0,2,-1515,-170.0,2,2,0
282,87,0,3,25,-60.0,7,3,4
283,87,0,4,-55,-55.0,15,4,4
284,87,0,5,-1475,-115.0,4,5,0
285,88,2,1,35,-180.0,3,1,0
286,88,2,2,75,-80.0,3,2,0
287,88,2,3,95,-70.0,2,3,0
288,88,2,4,100,-85.0,1,4,0
289,88,2,5,-1445,-180.0,3,5,0
290,89,1,1,50,55.0,2,1,1
291,89,1,2,75,80.0,2,2,1
292,89,1,3,70,60.0,4,3,2
293,89,1,4,80,55.0,2,4,1
294,89,1,5,-75,-55.0,8,5,4
295,90,1,1,50,55.0,2,1,1
296,90,1,2,85,80.0,2,2,1
297,90,1,3,85,80.0,2,3,1
298,90,1,4,45,45.0,3,4,1
299,90,1,5,-1460,-115.0,4,5,0
300,92,1,1,-245,-245.0,25,1,2
301,92,1,2,-195,-195.0,23,2,3
302,92,1,3,-30,-20.0,12,3,4
303,92,1,4,-90,-95.0,18,4,3
304,92,1,5,-125,-155.0,18,5,4
305,94,0,1,-1515,-190.0,4,1,1
306,94,0,2,25,-160.0,1,2,1
307,94,0,3,70,-20.0,2,3,1
308,94,0,4,70,-20.0,2,4,1
309,94,0,5,-50,-40.0,3,5,1
310,95,2,1,50,-95.0,2,1,0
311,95,2,2,85,-60.0,1,2,0
312,95,2,3,-1460,-160.0,1,3,0
313,95,2,4,70,-105.0,3,4,0
314,95,2,5,-25,-155.0,3,5,0
315,96,2,1,35,-180.0,3,1,0
316,96,2,2,75,-170.0,2,2,0
317,96,2,3,85,-60.0,1,3,0
318,96,2,4,95,80.0,2,4,1
319,96,2,5,-50,-30.0,3,5,1
320,97,2,1,-30,-160.0,1,1,0
321,97,2,2,85,-60.0,1,2,0
322,97,2,3,100,-60.0,1,3,0
323,97,2,4,70,-85.0,1,4,0
324,97,2,5,25,-160.0,1,5,0
330,100,1,1,50,55.0,2,1,1
331,100,1,2,85,-70.0,2,2,0
332,100,1,3,70,80.0,2,3,1
333,100,1,4,45,45.0,3,4,1
334,100,1,5,-1465,-105.0,3,5,0
335,101,2,1,-45,-180.0,3,1,1
336,101,2,2,5,-5.0,3,2,1
337,101,2,3,85,-60.0,1,3,0
338,101,2,4,35,45.0,3,4,1
339,101,2,5,25,-5.0,3,5,1
340,103,2,1,10,-130.0,6,1,0
341,103,2,2,5,-150.0,10,2,0
342,103,2,3,-1510,-210.0,6,3,0
343,103,2,4,55,-85.0,1,4,0
344,103,2,5,-1455,-105.0,3,5,0
345,106,0,1,5,-140.0,7,1,0
346,106,0,2,-60,-215.0,10,2,2
347,106,0,3,65,-85.0,5,3,0
348,106,0,4,45,-105.0,7,4,0
349,106,0,5,-1485,-130.0,7,5,0
350,109,1,1,45,-105.0,3,1,0
351,109,1,2,75,-75.0,2,2,0
352,109,1,3,50,-100.0,6,3,0
353,109,1,4,60,-110.0,6,4,0
354,109,1,5,-1475,-120.0,6,5,0
365,112,0,1,-55,-55.0,13,1,1
366,112,0,2,15,15.0,8,2,1
367,112,0,3,15,15.0,9,3,1
368,112,0,4,50,-100.0,7,4,0
369,112,0,5,-80,-80.0,12,5,2
370,113,0,1,-145,-145.0,22,1,4
371,113,0,2,20,-130.0,9,2,0
372,113,0,3,30,-110.0,8,3,0
373,113,0,4,35,-115.0,8,4,0
374,113,0,5,-1520,-170.0,10,5,0
375,115,1,1,10,-105.0,3,1,0
376,115,1,2,75,-80.0,3,2,0
377,115,1,3,85,-80.0,3,3,0
378,115,1,4,70,-150.0,0,4,0
379,115,1,5,-1450,-105.0,3,5,0
385,118,2,1,0,-115.0,4,1,0
386,118,2,2,70,-80.0,3,2,0
387,118,2,3,70,-70.0,2,3,0
388,118,2,4,35,-115.0,6,4,0
389,118,2,5,-1495,-125.0,6,5,0
390,120,2,1,-10,25.0,5,1,1
391,120,2,2,45,35.0,6,2,1
392,120,2,3,60,60.0,4,3,1
393,120,2,4,20,25.0,7,4,1
394,120,2,5,-30,-175.0,5,5,1
400,122,1,1,-50,-40.0,5,1,2
401,122,1,2,-20,-20.0,12,2,4
402,122,1,3,-15,-20.0,12,3,4
403,122,1,4,-15,-30.0,13,4,4
404,122,1,5,5,-150.0,0,5,0
405,123,1,1,0,5.0,7,1,3
406,123,1,2,55,80.0,2,2,1
407,123,1,3,50,60.0,4,3,2
408,123,1,4,90,55.0,2,4,1
409,123,1,5,-45,-45.0,7,5,3
410,124,0,1,0,-125.0,5,1,0
411,124,0,2,75,-70.0,3,2,0
412,124,0,3,75,-70.0,3,3,0
413,124,0,4,50,-95.0,2,4,0
414,124,0,5,-1475,-115.0,4,5,0
415,125,2,1,60,-85.0,1,1,0
416,125,2,2,85,-60.0,1,2,0
417,125,2,3,-1460,-85.0,1,3,0
418,125,2,4,90,-85.0,1,4,0
419,125,2,5,-1475,-115.0,4,5,0
420,126,1,1,40,-105.0,3,1,0
421,126,1,2,70,-80.0,3,2,0
422,126,1,3,-1460,-85.0,1,3,0
423,126,1,4,85,-160.0,1,4,0
424,126,1,5,5,-150.0,0,5,0
425,127,2,1,65,-150.0,0,1,0
426,127,2,2,30,-160.0,1,2,1
427,127,2,3,-1475,-170.0,2,3,2
428,127,2,4,50,-20.0,2,4,2
429,127,2,5,-1450,-170.0,2,5,2
430,128,0,1,-30,-25.0,10,1,4
431,128,0,2,35,40.0,6,2,2
432,128,0,3,-1455,-115.0,4,3,1
433,128,0,4,10,5.0,11,4,1
434,128,0,5,-70,-65.0,9,5,4
